event,x_mm,y_mm,z_mm,edep_MeV,photons_prod,photons_shifted,photons_detected
238,-77.2718,-37.1103,100,0,0,0,0
64,-78.5537,55.1109,100,4.3813,43811,0,104
255,-29.4493,-43.9929,100,2.08018,20801,0,50
195,-41.3577,-32.3263,100,2.83846,28384,0,62
21,53.1393,-14.3219,100,2.84724,28472,0,87
270,6.18074,6.15467,100,2.70569,27057,0,72
292,15.4555,8.85904,100,2.4296,24296,0,85
308,-38.7108,32.7216,100,2.85329,28532,0,69
217,45.3296,39.3556,100,5.3541,53539,0,136
196,8.8641,19.3371,100,2.95323,29533,0,65
256,35.9823,8.36619,100,3.3977,33977,0,101
197,-11.2899,40.5437,100,0,0,0,0
293,75.5315,-33.3669,100,2.8179,28178,0,87
309,-67.7964,11.7401,100,2.2947,22947,0,71
271,69.4561,34.7328,100,1.92019,19201,0,50
330,0.499285,-7.44775,100,2.49962,24997,0,50
257,71.7606,17.4827,100,2.84506,28451,0,94
65,30.3415,-14.4806,100,2.80214,28021,0,74
258,77.4691,4.07332,100,0,0,0,0
259,-36.3621,77.9997,100,0,0,0,0
272,-61.9871,2.22636,100,2.85257,28526,0,81
310,39.3961,69.4718,100,2.93716,29371,0,86
273,52.4003,-1.08554,100,0,0,0,0
311,12.1113,34.6714,100,0,0,0,0
239,-19.4606,-31.513,100,3.67283,36730,0,97
218,58.5586,-42.0429,100,2.24592,22459,0,57
331,73.5664,-2.69031,100,2.48775,24877,0,73
274,-44.6167,-47.9496,100,2.3823,23823,0,62
260,72.173,36.9251,100,4.07223,40722,0,98
294,-13.3314,-30.1331,100,3.04768,30477,0,84
312,-7.83375,-10.4132,100,2.49581,24958,0,86
332,27.3191,63.9643,100,2.77325,27733,0,59
352,-10.8709,-18.4983,100,2.95157,29517,0,68
261,73.2265,-23.3189,100,2.12481,21248,0,71
333,37.1013,70.3744,100,2.62433,26243,0,353,219,-53.5778,-59.7271,-48.0879,43.6165100,,1000,,0,02.29517,022952
,0,62
275,12.8637,13.1193,100,3.4259,34260,0,94
313,-54.0799,-48.446,100,2.68566,26857,0,65
240,5.14462,66.6592,100,2.10634,21064,0,65
262,35.7682,42.44,100,2.35865,23587,0,61
314,-50.5409,-5.81274,100,2.99683,29968,0,90
334,26.0129,35.9959,100,3.4624,34625,0,81
295,-6.75362,67.2721,100,2.54651,25464,0,58
56
189,-46.0901,6.16975,100,0,0,0,0
230,10.9049,74.4315,100,2.8944,28945,0,67
84,70.3682,-40.7364,100,2.82659,28266,0,73
213,14.2158,-57.6376,100,2.08541,20854,0,70
246,-45.0716,52.4058,100,3.88047,38805,0,69
247,-9.96848,43.0027,100,0,0,0,0
231,16.0179,-70.0811,100,2.35297,23530,0,66
85,7.62195,-74.8625,100,2.29326,22933,0,58
214,-12.971,62.5251,100,2.4847,24847,0,69
13,53.8874,34.1405,100,2.22386,22238,0,78
232,-16.0376,-35.7491,100,2.61131,26113,0,69
265,63.9032,-15.721,100,3.42409,34242,0,98
14,78.4814,18.7021,100,2.31477,23147,0,55
266,42.7229,-71.4414,100,0,0,0,0
59,-2.12477,-76.4173,100,3.00104,30011,0,78
215,4.00965,-47.1127,100,2.9123,29124,0,67
60,-76.9629,-53.3986,100,0,0,0,0
233,-10.9815,28.9079,100,2.70796,27081,0,70
86,-68.5875,-45.9043,100,2.1497,21496,48,62
15,65.4294,-45.0365,100,2.66741,26674,0,61
16,-67.8954,44.4711,100,0,0,0,0
87,-77.1547,-76.3975,100,2.61816,26181,0,64
286,64.4006,77.0702,100,0,0,0,0
234,-67.0332,-5.11958,100,2.83737,28375,0,73
235,-41.871,4.10208,100,0,0,0,0
216,-0.223008,-21.6738,100,4.85356,48536,0,117
17,-32.7062,2.78961,100,2.34163,23416,0,71
61,10.3349,-4.13632,100,2.45336,267,4,0,50
78.359,-23.7529,100,2.48255,24825,0,84
287,68.5945,-19.0969,100,2.60318190,,0,72
-62.5718,-69.8636,100,5.2479,52480,0,127
248,5.96386,18.7947,100,2.76328,27631,0,69
191,-40.2873,-50.714,100,0,0,0,0
268,-34.3743,-49.6504,100,2.29906,22990,18,51
18,-7.53881,59.6392,100,3.17833,31783,0,91
249,29.2125,68.2094,100,2.55996,25600,0,67
288,-41.5522,-50.2306,100,3.70545,37054,0,103
192,29.8989,45.3259,100,3.12198,31221,0,67
62,-41.6308,47.9685,100,2.82458,28245,0,73
250,58.9379,-79.8288,100,2.58989,25900,0,61
236,-2.84228,-16.5819,100,2.49522,24953,0,82
63,-32.1656,13.47,100,0,0,0,0
289,3.40644,-75.9818,100,2.43164,24316,0,82
251,-47.3815,-29.1767,100,2.50765,25076,0,84
19,31.5391,-19.5912,100,2.49885,24989,0,62
252,47.6691,-63.0155,100,0,0,0,0
193,-5.7602,27.1436,100,2.91591,29160,0,83
290,16.2148,33.0203,100,2.3692,23692,0,73
20,-75.5482,0.101998,100,0,0,0,0
269,-44.83,73.3252,100,2.98852,29885,0,97
253,79.176,-29.5756,100,2.8407,28407,0,88
194,-17.7003,-47.1386,100,3.60939,36095,0,81
237,-39.5268,-32.0306,100,3.0571,30572,0,79
254,-30.3457,46.7012,100,0,0,0,0
291,-59.4383,-21.6818,100,3.38412,33840,0,104
238,-77.2718,-37.1103,100,0,0,0,0
64,-78.5537,55.1109,100,4.3813,43811,0,104
255,-29.4493,-43.9929,100,2.08018,20801,0,50
195,-41.3577,-32.3263,100,2.83846,28384,0,62
21,53.1393,-14.3219,100,2.84724,28472,0,87
270,6.18074,6.15467,100,2.70569,27057,0,72
292,15.4555,8.85904,100,2.4296,24296,0,85
308,-38.7108,32.7216,100,2.85329,28532,0,69
217,45.3296,39.3556,100,5.3541,53539,0,136
196,8.8641,19.3371,100,2.95323,29533,0,65
256,35.9823,8.36619,100,3.3977,33977,0,101
197,-11.2899,40.5437,100,0,0,0,0
293,75.5315,-33.3669,100,2.8179,28178,0,87
309,-67.7964,11.7401,100,2.2947,22947,0,71
271,69.4561,34.7328,100,1.92019,19201,0,50
330,0.499285,-7.44775,100,2.49962,24997,0,50
257,71.7606,17.4827,100,2.84506,28451,0,94
65,30.3415,-14.4806,100,2.80214,28021,0,74
258,77.4691,4.07332,100,0,0,0,0
259,-36.3621,77.9997,100,0,0,0,0
272,-61.9871,2.22636,100,2.85257,28526,0,81
310,39.3961,69.4718,100,2.93716,29371,0,86
