freq_GHz,S11_dB,S21_dB
4.264999999999999680e+00,-1.667011378603917038e+01,-1.885593821403169112e+00
4.277250000000000441e+00,-1.692646285228098790e+01,-1.889525674213449857e+00
4.289500000000000313e+00,-1.722080304470007306e+01,-1.893455406533131935e+00
4.301750000000000185e+00,-1.755042556797010533e+01,-1.897383027439338843e+00
4.314000000000000057e+00,-1.791229526426607421e+01,-1.901308545944615735e+00
4.326249999999999929e+00,-1.830307868695357598e+01,-1.905231970997574686e+00
4.338499999999999801e+00,-1.871917493329073068e+01,-1.909153311483525073e+00
4.350749999999999673e+00,-1.915674895095746422e+01,-1.913072576225100185e+00
4.363000000000000433e+00,-1.961176701034387548e+01,-1.916989773982874734e+00
4.375250000000000306e+00,-2.008003401449786907e+01,-1.920904913455972807e+00
4.387500000000000178e+00,-2.055723230163486193e+01,-1.924818003282670720e+00
4.399750000000000050e+00,-2.103896158130676142e+01,-1.928729052040991210e+00
4.411999999999999922e+00,-2.152077963484186185e+01,-1.932638068249289853e+00
4.424249999999999794e+00,-2.199824340359805674e+01,-1.936545060366834825e+00
4.436499999999999666e+00,-2.246695008498479851e+01,-1.940450036794377997e+00
4.448750000000000426e+00,-2.292257785613730903e+01,-1.944353005874722928e+00
4.461000000000000298e+00,-2.336092584857056664e+01,-1.948253975893277978e+00
4.473250000000000171e+00,-2.377795300406885914e+01,-1.952152955078613417e+00
4.485500000000000043e+00,-2.416981545241403140e+01,-1.956049951603001880e+00
4.497749999999999915e+00,-2.453290206522867578e+01,-1.959944973582957051e+00
4.509999999999999787e+00,-2.486386785707991010e+01,-1.963838029079765235e+00
4.522249999999999659e+00,-2.515966492490101558e+01,-1.967729126100009385e+00
4.534500000000000419e+00,-2.541757063955767038e+01,-1.971618272596089128e+00
4.546750000000000291e+00,-2.563521282880197916e+01,-1.975505476466730137e+00
