freq_GHz,S11_dB,S21_dB
1.729249999999999954e+00,-1.640976665675289681e+01,-1.003354752834532793e+00
1.741500000000000048e+00,-1.617836442957329268e+01,-1.008129523437683250e+00
1.753749999999999920e+00,-1.598840522276599074e+01,-1.012896131907451425e+00
1.766000000000000014e+00,-1.584166757132622116e+01,-1.017654663615208621e+00
1.778250000000000108e+00,-1.573953015753210138e+01,-1.022405202454394146e+00
1.790499999999999980e+00,-1.568295905967412551e+01,-1.027147830876089074e+00
1.802750000000000075e+00,-1.567249881713889081e+01,-1.031882629923497774e+00
1.814999999999999947e+00,-1.570826739449074161e+01,-1.036609679265374062e+00
1.827250000000000041e+00,-1.578995509113123497e+01,-1.041329057228436383e+00
1.839499999999999913e+00,-1.591682740662182738e+01,-1.046040840828805996e+00
1.851750000000000007e+00,-1.608773183516743188e+01,-1.050745105802503465e+00
1.864000000000000101e+00,-1.630110852641571739e+01,-1.055441926635040550e+00
1.876249999999999973e+00,-1.655500471396577211e+01,-1.060131376590136343e+00
1.888500000000000068e+00,-1.684709277813025352e+01,-1.064813527737593191e+00
1.900749999999999940e+00,-1.717469177588047913e+01,-1.069488450980358385e+00
1.913000000000000034e+00,-1.753479223883390858e+01,-1.074156216080804249e+00
1.925249999999999906e+00,-1.792408400991624617e+01,-1.078816891686249280e+00
1.937500000000000000e+00,-1.833898686122375921e+01,-1.083470545353752756e+00
1.949750000000000094e+00,-1.877568360988738405e+01,-1.088117243574202586e+00
1.961999999999999966e+00,-1.923015542563419800e+01,-1.092757051795725243e+00
1.974250000000000060e+00,-1.969821900347067256e+01,-1.097390034446436458e+00
