freq_GHz,S11_dB
2.260600000000000165e+00,-7.999996650721443281e+00
2.263199999999999878e+00,-7.999997093635265344e+00
2.265800000000000036e+00,-7.999997448565274283e+00
2.268400000000000194e+00,-7.999997721813143059e+00
2.270999999999999908e+00,-7.999997917002093395e+00
2.273600000000000065e+00,-7.999998034955232207e+00
2.276199999999999779e+00,-7.999998073468362669e+00
2.278799999999999937e+00,-7.999998026961408826e+00
2.281400000000000095e+00,-7.999997885988190838e+00
2.283999999999999808e+00,-7.999997636579004201e+00
2.286599999999999966e+00,-7.999997259384422854e+00
2.289200000000000124e+00,-7.999996728581442618e+00
2.291799999999999837e+00,-7.999996010494710319e+00
2.294399999999999995e+00,-7.999995061875634583e+00
2.297000000000000153e+00,-7.999993827770620847e+00
2.299599999999999866e+00,-7.999992238896141750e+00
2.302200000000000024e+00,-7.999990208422674165e+00
2.304800000000000182e+00,-7.999987628051334454e+00
2.307399999999999896e+00,-7.999984363246037233e+00
2.310000000000000053e+00,-7.999980247459855143e+00
2.312600000000000211e+00,-7.999975075166616101e+00
2.315199999999999925e+00,-7.999968593477186474e+00
2.317800000000000082e+00,-7.999960492084171371e+00
2.320399999999999796e+00,-7.999950391238269454e+00
2.322999999999999954e+00,-7.999937827414091984e+00
2.325600000000000112e+00,-7.999922236272493770e+00
2.328199999999999825e+00,-7.999902932469955097e+00
2.330799999999999983e+00,-7.999879085803174306e+00
2.333400000000000141e+00,-7.999849693108517457e+00
2.335999999999999854e+00,-7.999813545261284631e+00
2.338600000000000012e+00,-7.999769188538826015e+00
2.341200000000000170e+00,-7.999714879524744582e+00
2.343799999999999883e+00,-7.999648532638968135e+00
2.346400000000000041e+00,-7.999567659281050069e+00
2.349000000000000199e+00,-7.999469297472510121e+00
2.351599999999999913e+00,-7.999349930779552587e+00
2.354200000000000070e+00,-7.999205395191570922e+00
2.356799999999999784e+00,-7.999030772525344446e+00
2.359399999999999942e+00,-7.998820268822213642e+00
2.362000000000000099e+00,-7.998567076108350271e+00
2.364599999999999813e+00,-7.998263215800029080e+00
2.367199999999999971e+00,-7.997899361960173259e+00
2.369800000000000129e+00,-7.997464642553876679e+00
2.372399999999999842e+00,-7.996946416813882408e+00
2.375000000000000000e+00,-7.996330026817632053e+00
2.377600000000000158e+00,-7.995598521401352521e+00
2.380199999999999871e+00,-7.994732350600234128e+00
2.382800000000000029e+00,-7.993709028913821513e+00
2.385400000000000187e+00,-7.992502765859420322e+00
2.387999999999999901e+00,-7.991084062501042418e+00
2.390600000000000058e+00,-7.989419272934467742e+00
2.393200000000000216e+00,-7.987470130077698904e+00
2.395799999999999930e+00,-7.985193235567359160e+00
2.398400000000000087e+00,-7.982539514101794964e+00
2.400999999999999801e+00,-7.979453633206310847e+00
2.403599999999999959e+00,-7.975873390129438967e+00
2.406200000000000117e+00,-7.971729068414403763e+00
2.408799999999999830e+00,-7.966942767628040656e+00
2.411399999999999988e+00,-7.961427710769396704e+00
2.414000000000000146e+00,-7.955087535018421363e+00
2.416599999999999859e+00,-7.947815572715339449e+00
2.419200000000000017e+00,-7.939494130773630864e+00
2.421800000000000175e+00,-7.929993778111151137e+00
2.424399999999999888e+00,-7.919172652117869582e+00
2.427000000000000046e+00,-7.906875796644089682e+00
2.429600000000000204e+00,-7.892934545465191576e+00
2.432199999999999918e+00,-7.877165966628610683e+00
2.434800000000000075e+00,-7.859372384483220841e+00
2.437399999999999789e+00,-7.839340997493342122e+00
2.439999999999999947e+00,-7.816843611109111301e+00
2.442600000000000104e+00,-7.791636505958383196e+00
2.445199999999999818e+00,-7.763460462396777118e+00
2.447799999999999976e+00,-7.732040962954678243e+00
2.450400000000000134e+00,-7.697088594404540629e+00
2.452999999999999847e+00,-7.658299670991205232e+00
2.455600000000000005e+00,-7.615357099775902583e+00
2.458200000000000163e+00,-7.567931507998054030e+00
2.460799999999999876e+00,-7.515682650819516475e+00
2.463400000000000034e+00,-7.458261115750558723e+00
2.466000000000000192e+00,-7.395310337441017623e+00
2.468599999999999905e+00,-7.326468933337547895e+00
2.471200000000000063e+00,-7.251373366953758115e+00
2.473800000000000221e+00,-7.169660941181150271e+00
2.476399999999999935e+00,-7.080973119205513200e+00
2.479000000000000092e+00,-6.984959165220704591e+00
2.481599999999999806e+00,-6.881280091299640134e+00
2.484199999999999964e+00,-6.769612890556614637e+00
2.486800000000000122e+00,-6.649655030197838101e+00
2.489399999999999835e+00,-6.521129171305421579e+00
2.491999999999999993e+00,-6.383788075346578772e+00
2.494600000000000151e+00,-6.237419650570334539e+00
2.497199999999999864e+00,-6.081852084786792290e+00
2.499800000000000022e+00,-5.916959004666795252e+00
2.502400000000000180e+00,-5.742664595807820405e+00
2.504999999999999893e+00,-5.558948612544453383e+00
2.507600000000000051e+00,-5.365851201998690811e+00
2.510200000000000209e+00,-5.163477463323546957e+00
2.512799999999999923e+00,-4.952001660642464387e+00
2.515400000000000080e+00,-4.731671006965196824e+00
2.517999999999999794e+00,-4.502808936490589886e+00
2.520599999999999952e+00,-4.265817784290726777e+00
2.523200000000000109e+00,-4.021180795487951265e+00
2.525799999999999823e+00,-3.769463390737609387e+00
2.528399999999999981e+00,-3.511313621135026430e+00
2.531000000000000139e+00,-3.247461753562476794e+00
2.533599999999999852e+00,-2.978718936931530337e+00
2.536200000000000010e+00,-2.705974910673261569e+00
2.538800000000000168e+00,-2.430194729060492165e+00
2.541399999999999881e+00,-2.152414488354141398e+00
2.544000000000000039e+00,-1.873736058155838435e+00
2.546600000000000197e+00,-1.595320833495825319e+00
