freq_MHz, Z_ohm
1.412537544622755448e+01,5.161234576012519781e+00
1.445439770745928065e+01,5.149959744884196056e+00
1.479108388168207178e+01,5.138109605049149486e+00
1.513561248436207052e+01,5.125665152954665515e+00
1.548816618912479726e+01,5.112607252635417154e+00
1.584893192461114175e+01,5.098916681966848330e+00
1.621810097358929781e+01,5.084574183495439215e+00
1.659586907437563141e+01,5.069560520017058813e+00
1.698243652461745867e+01,5.053856535056356236e+00
1.737800828749376336e+01,5.037443218377895882e+00
1.778279410038922848e+01,5.020301776633127488e+00
1.819700858609982674e+01,5.002413709215988824e+00
1.862087136662865916e+01,4.983760889363875179e+00
1.905460717963248030e+01,4.964325650499419318e+00
1.949844599758045405e+01,4.944090877762153724e+00
1.995262314968882933e+01,4.923040104627300906e+00
2.041737944669531757e+01,4.901157614451971511e+00
2.089296130854040712e+01,4.878428546726699011e+00
2.137962089502232388e+01,4.854839007743080970e+00
2.187761623949552003e+01,4.830376185316364257e+00
2.238721138568337565e+01,4.805028467125755043e+00
2.290867652767769869e+01,4.778785562155666966e+00
2.344228815319922532e+01,4.751638624638752084e+00
2.398832919019489651e+01,4.723580379817471808e+00
2.454708915685033332e+01,4.694605250756114678e+00
2.511886431509582351e+01,4.664709485351203888e+00
2.570395782768864734e+01,4.633891282606082740e+00
2.630267991895381385e+01,4.602150917157451282e+00
2.691534803926913710e+01,4.569490860968869583e+00
2.754228703338163342e+01,4.535915901041134290e+00
2.818382931264454783e+01,4.501433251933687707e+00
2.884031503126605500e+01,4.466052661846988237e+00
2.951209226666390251e+01,4.429786510985007197e+00
3.019951720402018935e+01,4.392649900901952620e+00
3.090295432513591933e+01,4.354660733539427397e+00
3.162277660168379256e+01,4.315839778681768379e+00
3.235936569296281107e+01,4.276210728599358468e+00
3.311311214825907712e+01,4.235800238713722798e+00
3.388441561392026813e+01,4.194637953204958691e+00
3.467368504525316553e+01,4.152756514592099713e+00
3.548133892335760464e+01,4.110191556450042860e+00
3.630780547701017724e+01,4.066981678582705761e+00
3.715352290971727456e+01,4.023168404149258137e+00
3.801893963205612437e+01,3.978796118437875950e+00
3.890451449942804629e+01,3.933911989196479553e+00
3.981071705534969141e+01,3.888565868660158298e+00
4.073802778041122252e+01,3.842810177657034476e+00
4.168693834703355350e+01,3.796699772424493968e+00
4.265795188015925987e+01,3.750291795022124397e+00
4.365158322401665458e+01,3.703645508481877346e+00
4.466835921509634488e+01,3.656822118085928608e+00
4.570881896148751622e+01,3.609884580403334375e+00
4.677351412871981751e+01,3.562897401944487008e+00
4.786300923226380633e+01,3.515926429502675088e+00
4.897788193684456814e+01,3.469038634441802937e+00
5.011872336272724482e+01,3.422301893355095714e+00
5.128613839913648320e+01,3.375784767659265384e+00
5.248074602497733565e+01,3.329556284800289756e+00
5.370317963702532893e+01,3.283685723830465975e+00
5.495408738576248453e+01,3.238242408171201347e+00
5.623413251903490817e+01,3.193295508404395910e+00
5.754399373371566639e+01,3.148913857938521854e+00
5.888436553555884245e+01,3.105165784377780458e+00
6.025595860743580801e+01,3.062118959387879258e+00
6.165950018614822170e+01,3.019840269805647903e+00
6.309573444801942799e+01,2.978395712687928576e+00
6.456542290346563107e+01,2.937850316945592066e+00
6.606934480075963734e+01,2.898268094168415576e+00
6.760829753919819041e+01,2.859712021225596423e+00
6.918309709189362877e+01,2.822244057233576076e+00
7.079457843841373688e+01,2.785925197528395181e+00
7.244359600749891115e+01,2.750815567374667037e+00
7.413102413009177383e+01,2.716974558299075415e+00
7.585775750291836061e+01,2.684461010165381190e+00
7.762471166286927371e+01,2.653333442423132293e+00
7.943282347242821118e+01,2.623650338377411018e+00
8.128305161640996346e+01,2.595470486855704362e+00
8.317637711026708303e+01,2.568853386305283149e+00
8.511380382023759239e+01,2.543859717153857503e+00
8.709635899560795735e+01,2.520551889221307462e+00
8.912509381337459047e+01,2.498994672090907532e+00
9.120108393559097237e+01,2.479255917640324824e+00
9.332543007969924531e+01,2.461407385391510605e+00
9.549925860214368356e+01,2.445525682945522750e+00
