freq_GHz,S11_dB,S21_dB,Z0_ohm
9.613333333333332620e-01,-1.404674410183977251e+01,-4.863868281251184644e-01,5.266497959672572193e+01
9.676666666666666750e-01,-1.395008647421378711e+01,-4.886276638789352478e-01,5.302387559897842095e+01
9.739999999999999769e-01,-1.392287726610061860e+01,-4.908641040636535502e-01,5.339528195096394825e+01
9.803333333333332789e-01,-1.396592832335761258e+01,-4.930961857998286124e-01,5.377684737188545938e+01
9.866666666666665808e-01,-1.407881709489601540e+01,-4.953239456569686339e-01,5.416615626641948467e+01
9.929999999999999938e-01,-1.425989405644699204e+01,-4.975474196651960557e-01,5.456074401724628586e+01
9.993333333333332957e-01,-1.450631169092075723e+01,-4.997666433265899877e-01,5.495811258792613785e+01
1.005666666666666709e+00,-1.481407451620505711e+01,-5.019816516262193273e-01,5.535574633734383099e+01
1.012000000000000011e+00,-1.517810928146879412e+01,-5.041924790428772285e-01,5.575112794560379115e+01
1.018333333333333313e+00,-1.559235409869735989e+01,-5.063991595595278561e-01,5.614175435055327767e+01
1.024666666666666615e+00,-1.604986494351533111e+01,-5.086017266734729203e-01,5.652515259404338366e+01
1.030999999999999917e+00,-1.654293765419158291e+01,-5.108002134062487043e-01,5.689889547760899546e+01
1.037333333333333218e+00,-1.706324328543653124e+01,-5.129946523132623559e-01,5.726061692845574669e+01
1.043666666666666520e+00,-1.760197443897151004e+01,-5.151850754931744936e-01,5.760802697847553588e+01
1.050000000000000044e+00,-1.814999999999999503e+01,-5.173715145970382290e-01,5.793892626146236324e+01
1.056333333333333346e+00,-1.869802556102848357e+01,-5.195540008371999363e-01,5.825121993675013954e+01
1.062666666666666648e+00,-1.923675671456344460e+01,-5.217325649959729805e-01,5.854293095112542744e+01
1.068999999999999950e+00,-1.975706234580841070e+01,-5.239072374340866256e-01,5.881221255505724343e+01
1.075333333333333252e+00,-2.025013505648464829e+01,-5.260780480989223351e-01,5.905735999400680214e+01
1.081666666666666554e+00,-2.070764590130261240e+01,-5.282450265325401295e-01,5.927682130080252421e+01
1.088000000000000078e+00,-2.112189071853121192e+01,-5.304082018795034381e-01,5.946920712075631599e+01
1.094333333333333158e+00,-2.148592548379492939e+01,-5.325676028945085516e-01,5.963329950732085649e+01
1.100666666666666460e+00,-2.179368830907923282e+01,-5.347232579498242266e-01,5.976805963260487431e+01
1.106999999999999984e+00,-2.204010594355300157e+01,-5.368751950425469932e-01,5.987263436393288885e+01
1.113333333333333286e+00,-2.222118290510397998e+01,-5.390234418016784934e-01,5.994636166481494399e+01
1.119666666666666588e+00,-2.233407167664238457e+01,-5.411680254950300695e-01,5.998877478613422909e+01
1.125999999999999890e+00,-2.237712273389938389e+01,-5.433089730359588199e-01,5.999960522101908111e+01
1.132333333333333192e+00,-2.234991352578621004e+01,-5.454463109899416740e-01,5.997878440469284556e+01
1.138666666666666494e+00,-2.225325589816023708e+01,-5.475800655809909268e-01,5.992644414854039780e+01
1.145000000000000018e+00,-2.208918183057041063e+01,-5.497102626979167850e-01,5.984291580564315893e+01
1.151333333333333320e+00,-2.186090773657219444e+01,-5.518369279004404770e-01,5.972872817306559057e+01
1.157666666666666400e+00,-2.157277795481673266e+01,-5.539600864251641443e-01,5.958460414417308471e+01
